zip,Quartile of claims,Total claims,Total claim amount,Average payout,Total households,Percent households of color,Median Income,"Flooding related 311 calls per 1,000 households (2007-2016)"
60018,3,1737,17195287,9900,10225,36,56456,1
60176,2,856,3710462,4336,4335,25,52990,1
60601,1,1,1,1,8248,31,103735,16
60602,1,1,1,1,607,31,85313,125
60603,1,1,1,1,466,44,140500,148
60604,1,3,9283,3094,381,45,150125,307
60605,1,6,150,25,13320,43,99725,20
60606,1,4,177816,44454,1999,26,119973,79
60607,1,111,220827,1990,12465,38,86476,83
60608,2,1225,3661383,2989,25372,75,37574,133
60609,3,4358,8140247,1868,19717,80,32721,212
60610,1,54,220662,4078,34734,25,82654,37
60611,1,2,10733,5041,20267,26,92545,33
60612,3,1864,3301940,1771,13300,77,37137,212
60613,1,102,728406,7141,26096,24,73810,89
60614,1,137,1386360,10119,33696,18,94640,113
60615,2,890,1243237,1397,20281,75,40587,88
60616,2,317,533801,1684,23203,74,42776,58
60617,4,16726,27444709,1641,27752,90,37254,410
60618,2,967,3554477,3676,35533,44,62102,155
60619,4,21103,36051438,1708,25789,99,32024,455
60620,4,19578,26335236,1345,25623,100,32401,387
60621,4,6056,7235273,1195,11047,100,20150,303
60622,2,234,947516,4049,32785,33,80015,119
60623,4,5743,13121928,2285,24958,97,30048,189
60624,3,5346,9858178,1844,11912,98,22160,240
60625,2,1303,6696488,5139,29157,45,59601,164
60626,3,200,251930,1260,22314,48,36978,97
60628,4,24422,29185975,1195,23528,98,35654,514
60629,4,13022,28906719,2220,30979,87,41471,320
60630,3,1568,2654981,1693,20854,33,67469,205
60631,3,2334,6509800,2789,11596,10,79458,271
60632,3,5017,16054322,3200,24405,84,40829,189
60633,3,1567,2241597,1431,4721,58,50754,204
60634,3,3433,7294106,2125,25559,32,58184,246
60636,4,11783,16257578,1380,11258,99,27475,481
60637,3,3919,5663924,1445,18877,87,27091,211
60638,3,3551,10633364,2994,19865,40,64408,265
60639,3,5354,15307364,2859,25457,89,39913,236
60640,3,47,127203,2706,34543,39,47390,83
60641,2,970,3444259,3551,24671,50,53158,153
60643,4,12754,16948425,1329,17919,77,59686,381
60644,4,8331,14592943,1752,16490,98,26892,263
60645,2,546,1053310,1929,16074,47,49132,147
60646,2,1275,2299588,1804,10676,18,79079,328
60647,2,699,2265090,3241,34086,49,61028,132
60649,3,4439,8134215,1832,20735,97,26246,198
60651,4,10931,24360192,2229,19080,95,34397,397
60652,4,6798,10981377,1615,13131,82,64574,338
60653,3,1697,2892063,1704,13892,96,26176,117
60654,3,2,205236,102618,11526,23,93848,1
60655,3,1967,4833067,2457,10078,14,91102,316
60656,3,1383,3139940,2270,11887,21,58177,145
60657,3,94,883887,9403,36872,18,84319,79
60659,2,601,1549379,2578,12452,49,51527,213
60660,3,63,264544,4199,20329,40,43794,60
60661,3,2,4965,2483,5653,38,101829,28
60707,3,3403,11328608,3329,15568,41,55513,109
60827,4,8849,11373662,1285,10506,96,30587,30
,4,24422,36051438,102618,36872,100,150125,514
,1,1,1,1,381,10,20150,1
